title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source,must_have_abstract,title_zh,abstract_zh,categories,stable_id
"TPIC: A temporal–spatial price-driven integrated coordination framework for routing, loading, and (dis)charging of electric freight trucks",https://www.sciencedirect.com/science/article/pii/S0306261926011736?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128517,Goran Strbac,,,,,TPIC：时空价格驱动的电动货运卡车路线、装载和（卸载）充电综合协调框架,,,919de3fbbc27fee3
Application-oriented unidirectional binary multi-frequency electrochemical impedance spectroscopy for lithium-ion batteries,https://www.sciencedirect.com/science/article/pii/S0306261926011748?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128518,Shangwei Zhou,,,,,面向应用的锂离子电池单向二元多频电化学阻抗谱,,,5b3fe5ac5e2928a2
"Toward high-performance vanadium-oxygen fuel cell: numerical modeling, polarization analysis, and bismuth-catalyzed anode optimization",https://www.sciencedirect.com/science/article/pii/S0306261926011840?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128528,Tianshou Zhao,,,,,迈向高性能钒氧燃料电池：数值建模、极化分析和铋催化阳极优化,,,979abdb34a4f25b6
Exploring the socio-macroeconomic impacts of buildings decarbonisation including efficiency and rebound effects,https://www.sciencedirect.com/science/article/pii/S0306261926010457?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128391,John Barrett,,,,,探索建筑脱碳的社会宏观经济影响，包括效率和反弹效应,,,671691503457c0e1
Reliability and economics enhanced dispatch of distributed energy storage: A fatigue-aware online learning based aggregation approach,https://www.sciencedirect.com/science/article/pii/S0306261926011682?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128512,Zaijun Wu,,,,,可靠性和经济性增强的分布式储能调度：一种基于疲劳感知的在线学习聚合方法,,,7295f5cb6d00a4a5
Dynamic characteristics inside proton exchange membrane fuel cell with high-resolution current distribution measurement,https://www.sciencedirect.com/science/article/pii/S0306261926012158?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128559,Xiufang Gong,,,,,具有高分辨率电流分布测量的质子交换膜燃料电池内部动态特性,,,ecca8c3835a10842
Bridging the high-temperature gap: Co-decarbonizing industrial electricity and process heat via integrated energy systems,https://www.sciencedirect.com/science/article/pii/S0306261926011268?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128470,A. Papadopoulos,,,,,缩小高温差距：通过综合能源系统实现工业电力和工艺热的共同脱碳,,,c59fa6836a332185
“1 + N” mechanism and data hybrid-driven simplified modeling method for multi-unit systems and its application to multi-stack fuel cell systems,https://www.sciencedirect.com/science/article/pii/S0306261926011694?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128513,Jianhua Jiang,,,,,“1+N”机制与数据混合驱动的多单元系统简化建模方法及其在多堆燃料电池系统中的应用,,,e3f8ea1d67b825ca
Evaluation of dual-tower optical efficiency limit for guiding the design of solar power tower systems,https://www.sciencedirect.com/science/article/pii/S0306261926012018?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128545,Ya-Ling He,,,,,双塔光效率极限评估，指导太阳能塔式系统设计,,,20f4f626f88bf6ab
Activity-cliff awareness enables robust graph learning for molecular property prediction,https://www.nature.com/articles/s41467-026-75713-2,,Physical sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Wanxiang Shen,,"Accurately predicting molecular activity is hindered by activity cliffs (ACs), which are sharp potency changes between highly similar compounds that distort the smoothness assumed by modern quantitative structure–activity relationship (SAR) models and graph neural networks (GNNs). Here we introduce AC awareness (ACA), an inductive bias that reshapes GNN latent spaces to account for these discontinuities. Implemented through an ACA loss combining regression with soft-margin triplet contrastive learning, the method dynamically mines high-value activity-cliff triplets during training and corrects inconsistent neighborhoods in latent space. This process yields progressively fewer cliff violations, more coherent activity gradients, and reduced label incoherence across diverse chemical spaces. Evaluated on 52 datasets spanning low-sample narrow-scaffold series, large mixed-scaffold benchmarks, matched-pair cliff classification, and absorption, distribution, metabolism, excretion and toxicity (ADMET) property prediction, ACA consistently improves predictive accuracy over strong extended-connectivity fingerprint (ECFP) and GNN baselines. The approach generalizes across multiple GNN backbones and remains robust under fixed hyperparameters. These results suggest that ACA provides a principled strategy for enhancing molecular property prediction by aligning latent representations with the nonadditive behavior underlying ACs.",nature_html,,活动悬崖意识为分子特性预测提供了强大的图形学习能力,准确预测分子活性受到活性悬崖 (AC) 的阻碍，活性悬崖是高度相似的化合物之间的急剧效力变化，扭曲了现代定量构效关系 (SAR) 模型和图神经网络 (GNN) 假设的平滑度。在这里，我们引入了 AC 意识（ACA），这是一种归纳偏差，可以重塑 GNN 潜在空间以解释这些不连续性。该方法通过将回归与软边缘三元组对比学习相结合的 ACA 损失来实现，在训练期间动态挖掘高价值的活动悬崖三元组，并纠正潜在空间中不一致的邻域。这个过程逐渐减少了悬崖违规，更加连贯的活性梯度，并减少了不同化学空间中的标签不连贯性。通过对涵盖低样本窄支架系列、大型混合支架基准、配对悬崖分类以及吸收、分布、代谢、排泄和毒性 (ADMET) 属性预测的 52 个数据集进行评估，ACA 持续提高了强扩展连接指纹 (ECFP) 和 GNN 基线的预测准确性。该方法可推广到多个 GNN 主干网络，并在固定超参数下保持稳健。这些结果表明，ACA 提供了一种原则性策略，通过将潜在表示与 AC 背后的非加性行为对齐来增强分子属性预测。,,1468faa4a07c3869
Spinal-inspired artificial tactile interneuron with high-order burst spiking for intelligent edge interfaces,https://www.nature.com/articles/s41467-026-76185-0,,Physical sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Bowen Zhu,,"Human tactile perception relies on hierarchical processing, where inputs entering the nervous system are fused by interneurons for sparse multimodal encoding, and the integrated signals are sent to the brain to generate perception. Replicating this pathway from primary sensory inputs to higher-order neural processing, which efficiently transforms signals into coherent representations of the external environment, is essential for artificial tactile systems. Here we present artificial multimodal interneuron (AMINs) by integrating strain, pressure, and temperature sensors with NbOx memristor neurons on a hybrid integrated platform, enabling hierarchical neural encoding and the generation of high-information-density temporal spike patterns. AMIN-based processing generates a unified burst spike train with wide temporal dynamics that encode object size, hardness, and temperature, serving directly as input to SNNs. In a 20-class tactile object recognition task, a hardware-characterized AMIN encoding model combined with a software SNN achieves 90.5% accuracy, demonstrating the potential of the proposed tactile encoding strategy for compact and low-power multimodal tactile intelligence.",nature_html,,用于智能边缘接口的具有高阶突发尖峰的受脊髓启发的人工触觉中间神经元,人类的触觉感知依赖于分层处理，其中进入神经系统的输入由中间神经元融合以进行稀疏多模态编码，并将集成的信号发送到大脑以产生感知。将这一途径从初级感觉输入复制到高阶神经处理，从而有效地将信号转换为外部环境的连贯表示，对于人工触觉系统至关重要。在这里，我们通过在混合集成平台上将应变、压力和温度传感器与 NbOx 忆阻神经元集成来展示人工多模态中间神经元 (AMIN)，从而实现分层神经编码并生成高信息密度时间尖峰模式。基于 AMIN 的处理生成具有宽时间动态的统一突发尖峰序列，对物体大小、硬度和温度进行编码，直接作为 SNN 的输入。在 20 类触觉物体识别任务中，硬件表征的 AMIN 编码模型与软件 SNN 相结合，实现了 90.5% 的准确率，展示了所提出的触觉编码策略在紧凑和低功耗多模态触觉智能方面的潜力。,,5cc3d8a783e341a7
High-transconductance molybdenum disulfide top-gate transistors using epitaxial interface engineering,https://www.nature.com/articles/s41928-026-01672-7,,Nature Electronics,2026-07-31 00:00:00+00:00,10.1038/s41928-026-01672-7,Wen-Hao Chang,,Monolayer molybdenum disulfide top-gate field-effect transistors with a transconductance of 0.45 mS µm−1 at an equivalent oxide thickness of around 1 nm can be created with the help of an epitaxially derived aluminium oxide interfacial layer.,rss_nature,,采用外延界面工程的高跨导二硫化钼顶栅晶体管,借助外延衍生的氧化铝界面层，可以创建单层二硫化钼顶栅场效应晶体管，其跨导为 0.45 mS µm−1，等效氧化物厚度约为 1 nm。,,c2750d7d6668b3c7
Measuring stress inside composites with mechanophores,https://www.nature.com/articles/s44359-026-00207-9,,Nature Reviews Clean Technology,2026-07-31 00:00:00+00:00,10.1038/s44359-026-00207-9,Nazmul Haque,,Nazmul Haque demonstrates how mechanophores enable the mapping and quantification of internal stress concentrations in polymer composites.,rss_nature,,使用机械载体测量复合材料内部的应力,Nazmul Haque 演示了机械力团如何实现聚合物复合材料中内应力集中的绘图和量化。,,137f105e6cfa19d7
Direct observation of braiding of Majorana-like zero modes in real space,https://www.nature.com/articles/s41467-026-75765-4,,Physical sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Zhengyou Liu,,"Majorana zero modes (MZMs) lie at the heart of fault-tolerant topological quantum computation, where their non-Abelian braiding statistics enable logical operations intrinsically immune to local perturbations and decoherence. Analogs of MZMs, known as Majorana-like zero modes (MLZMs), have recently been proposed in artificial lattices. Despite this progress, a direct real-space observation of the braiding process has remained elusive, representing a fundamental gap between theoretical prediction and experimental realization. Here, we demonstrate the direct observation of the braiding of MLZMs. We identify boundary-bound MLZMs (BMLZMs) that are spatially well separated and can be adiabatically transported along the sample boundary through controlled modulation of the Kekulé phase. By mapping the acoustic-field evolution, we construct the complete real-space trajectory and observe the phase accumulation characteristic of the braiding process. These results establish BMLZMs as a new class of topological excitations and provide a directly observable analog of Majorana braiding dynamics.",nature_html,,真实空间中类马约拉纳零模态编织的直接观察,马约拉纳零模 (MZM) 是容错拓扑量子计算的核心，其非阿贝尔编织统计使得逻辑运算本质上不受局部扰动和退相干的影响。 MZM 的类似物，称为类马约拉纳零模 (MLZM)，最近在人工晶格中被提出。尽管取得了这些进展，但对编织过程的直接真实空间观察仍然难以捉摸，这代表了理论预测和实验实现之间的根本差距。在这里，我们展示了对 MLZM 编织的直接观察。我们确定了边界束缚 MLZM（BMLZM），它们在空间上分离良好，并且可以通过凯库勒相的受控调制沿着样本边界绝热传输。通过绘制声场演化图，我们构建了完整的真实空间轨迹并观察了编织过程的相位累积特征。这些结果将 BMLZM 确立为一类新型拓扑激励，并提供了马约拉纳编织动力学的直接可观察模拟。,,8060057e59bcd14c
Moisture-induced surface degradation mechanism of argyrodite Li6PS5Cl under dry-room conditions,https://www.nature.com/articles/s41467-026-75537-0,,Physical sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Dong-Hwa Seo,,"Argyrodite Li₆PS₅Cl (LPSC) possesses both high Li-ion conductivity ( ~ 10 mS cm⁻¹ at room temperature) and mechanical softness, positioning it as a flagship solid electrolyte for next-generation all-solid-state batteries (ASSBs). However, even trace amounts of moisture in industrial dry rooms (dew-point –60 to –70 °C) rapidly degrade its surface, diminishing ionic transport and impeding scalable processes. Here, we elucidate the moisture-triggered surface degradation mechanism of LPSC under dry-room conditions by combining first-principles calculations with depth-profiling X-ray photoelectron spectroscopy analysis. The combined analysis reveals a five-step sequence: (i) H2O adsorptions on S-rich surface, (ii) P–S bond weakening followed by thermodynamically favoured S-O substitutions, (iii) rotation of the O-substituted PS₄ tetrahedra that drives O migration into subsurface layers, (iv) formation of an O-rich Li₆PO₅Cl-like surface, and (v) volume-shrinking phase separation into LiCl, Li₃PO₄, Li₂SO₄, LiOH, and Li2CO3. The resulting porous, O-enriched layer fails to passivate the electrolyte, causing a 36% drop in ionic conductivity within three days. These mechanistic insights highlight polyhedral-rigidity tuning and moisture-blocking surface chemistries as complementary strategies for stabilizing thiophosphate electrolytes during practical cell fabrication.",nature_html,,干燥室条件下湿气诱导银汞矿 Li6PS5Cl 表面降解机制,银铜矿Li₆PS₅Cl（LPSC）兼具高锂离子电导率（室温下约10 mS cm⁻）和机械柔软性，使其成为下一代全固态电池（ASSB）的旗舰固体电解质。然而，即使工业干燥室（露点 –60 至 –70 °C）中的微量水分也会迅速降解其表面，减少离子传输并阻碍可扩展的工艺。在这里，我们通过将第一原理计算与深度剖析 X 射线光电子能谱分析相结合，阐明了干燥室条件下水分引发的 LPSC 表面降解机制。组合分析揭示了一个五步序列：（i）H2O在富S表面上的吸附，（ii）P-S键减弱，然后是热力学上有利的S-O取代，（iii）O取代的PS₄四面体的旋转，驱动O迁移到地下层，（iv）形成富O的Li₆PO₅Cl类表面，以及（v）体积收缩相分离成LiCl， Li₃PO₄、Li2SO₄、LiOH 和 Li2CO3。由此产生的多孔富氧层无法钝化电解质，导致离子电导率在三天内下降 36%。这些机制见解强调多面体刚性调节和防潮表面化学是在实际电池制造过程中稳定硫代磷酸盐电解质的补充策略。,,83e7877bd6f20aab
Manipulatable Cascade Pumping Single-Photon Upconversion,https://www.nature.com/articles/s41467-026-75688-0,,Physical sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Bin Dong,,"Photon upconversion (UC), while promising for infrared photonics, is fundamentally constrained by limited spectral response range, low efficiency, and slow response speeds. Here, we present a machine learning-guided single-photon UC strategy based on cascade pumping that implements a “LEGO-inspired photon stacking” mechanism, in which intermediate state of lanthanide ions (Ln3+) becomes a “virtual ground state” for direct single-photon pumping to target energy levels. As a proof-of-concept, the NaYS2:Ho3+ UC emissions are selectively enhanced by 2-3 orders of magnitude via precise population control. This mechanism extends efficient UC response to ~2100 nm and reduces response time from 30 ms to 54 μs. The approach generalizes to other Ln3+ (Tm3+/Pr3+/Er3+), and energy-transfer optimization in Ho3+-sensitized systems yields near-pure RGB emission. We further demonstrate the high-sensitivity and rapid-response UC narrowband photodetection, enabling low-threshold CO2 sensing with a sensitivity of 6.4×10−4 ppm−1. Our work offers strategy for developing single-photon UC and infrared photodetection technologies.",nature_html,,可操纵级联泵浦单光子上转换,光子上转换（UC）虽然在红外光子学方面很有前景，但从根本上受到光谱响应范围有限、效率低和响应速度慢的限制。在这里，我们提出了一种基于级联泵浦的机器学习引导的单光子UC策略，该策略实现了“乐高启发的光子堆叠”机制，其中镧系元素离子（Ln3+）的中间态成为“虚拟基态”，用于直接单光子泵浦到目标能级。作为概念验证，通过精确的群体控制，NaYS2:Ho3+ UC 排放选择性地增强了 2-3 个数量级。该机制将有效 UC 响应扩展至约 2100 nm，并将响应时间从 30 ms 缩短至 54 μs。该方法可推广到其他 Ln3+ (Tm3+/Pr3+/Er3+)，并且 Ho3+ 敏化系统中的能量转移优化可产生接近纯的 RGB 发射。我们进一步展示了高灵敏度和快速响应的UC窄带光电检测，实现了灵敏度为6.4×10−4 ppm−1的低阈值CO2传感。我们的工作为开发单光子超导和红外光电检测技术提供了策略。,,14bc5ef496a122bc
Horizontally arranged covalent organic framework nanowires on poly(amidoxime) fibers for high-efficiency uranium capture,https://www.nature.com/articles/s41467-026-76251-7,,Physical sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Ye Yuan,,"The efficient capture of low-concentration uranium (with a concentration range of 10–50 ppm) from nuclear and metallurgical wastewaters is crucial for safeguarding the ecological security of water bodies. Herein, an ion coordination approach was proposed to achieve the controlled arrangement of covalent organic framework (COF) nanowires, with these nanowires being horizontally aligned on the surface of poly(amidoxime) (PAO) fibers. At the interface, the amidoxime groups of PAO and the photocatalytic sites of COF enable synergistic chemical binding and photoreduction of soluble uranium into (UO2)O2·4H2O precipitates. This efficient integration of the two pathways enables an ultrahigh uranium uptake capacity of 1259 mg g−1 within 12 hours (~10 ppm), reducing the extraction time to 1/10 that of the pristine COF nanowires. Notably, in the uranium-spiked metallurgical wastewater with a uranium concentration of ~50 ppm, the COF composite attains a uranium uptake capacity of 9230 mg g−1, establishing a new benchmark for uranium adsorption capacity among existing materials.",nature_html,,聚（偕胺肟）纤维上水平排列的共价有机骨架纳米线用于高效铀捕获,从核废水和冶金废水中高效捕集低浓度铀（浓度范围为10-50 ppm）对于维护水体生态安全至关重要。在此，提出了一种离子配位方法来实现共价有机骨架（COF）纳米线的受控排列，这些纳米线在聚（偕胺肟）（PAO）纤维表面水平排列。在界面处，PAO 的偕胺肟基团和 COF 的光催化位点能够协同化学结合并将可溶性铀光还原成 (UO2)O2·4H2O 沉淀物。两种途径的有效整合使得在 12 小时内能够实现 1259 mg g−1 的超高铀吸收能力 (~10 ppm)，将提取时间缩短至原始 COF 纳米线的 1/10。值得注意的是，在铀浓度~50 ppm的加铀冶金废水中，COF复合材料的铀吸收能力达到9230 mg g−1，为现有材料的铀吸附能力树立了新的基准。,,2031324c5c427651
Soliton-assisted massive signal broadcasting via exceptional points,https://www.nature.com/articles/s41467-026-76129-8,,Physical sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Xinliang Zhang,,"Chip-scale all-optical signal broadcasting, which replicates data across multiple wavelength channels via Kerr nonlinearity, is critical for high-throughput optical communication and computing systems. High-quality microcavities boost the inherently weak optical nonlinearity but suffer from Fourier reciprocity, creating a fundamental trade-off that prevents simultaneous generation of the multi-wavelength pump for broadcasting (soliton frequency combs) and massive broadcasting in a single cavity. Here we show that a parity-time symmetric coupled-cavity system featuring equally spaced exceptional points in the frequency domain resolves this limitation. This design integrates comb generation and all-optical broadcasting into a unified process, achieving over 100 usable channels across 200 nm bandwidth with terabit-per-second throughput—three orders of magnitude beyond the intrinsic cavity linewidth limit. We further demonstrate an optical convolutional accelerator, establishing a new non-Hermitian paradigm for chip-scale photonic processing.",nature_html,,孤子辅助特异点海量信号广播,芯片级全光信号广播通过克尔非线性在多个波长通道上复制数据，对于高吞吐量光通信和计算系统至关重要。高质量微腔增强了固有的弱光学非线性，但会受到傅里叶互易性的影响，从而产生了一个基本的权衡，阻止了在单腔中同时生成用于广播（孤子频率梳）和大规模广播的多波长泵浦。在这里，我们证明了奇偶时间对称耦合腔系统在频域中具有等距异常点，解决了这一限制。该设计将梳状生成和全光广播集成到统一流程中，在 200 nm 带宽内实现 100 多个可用通道，吞吐量达到太比特每秒，超出固有腔线宽限制三个数量级。我们进一步演示了光学卷积加速器，为芯片级光子处理建立了新的非厄米范例。,,4b83a9a3950ef48c
The role of the 2’-OH group in phase separation and percolation transitions of RNA,https://www.nature.com/articles/s41467-026-75961-2,,Physical sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Priya R. Banerjee,,"Mg2+ ion-dependent RNA liquid–liquid phase separation with lower critical solution temperatures is driven by the phosphate backbone and modulated by the solvation property of nucleobases. Here, we report a key role of the 2’-OH group of the ribose sugar in RNA condensation in the presence of divalent cations. We show that 2’-deoxyribose inhibits nucleic acid phase separation and suppresses the intra-condensate networking transition, known as percolation, that underlies condensate dynamical arrest. All-atom simulations reveal increased solvation and compaction of single-stranded DNA compared to RNA, suggesting an unintuitive role of chain flexibility in modulating heat-induced nucleic acid phase separation and percolation transitions. Further, 2’-O-methylation (2’-O-Me) of RNA, a common sugar modification, lowers the driving force of RNA phase transitions. These results highlight the diverse physicochemical parameters governing nucleic acid phase behavior and suggest how sugar modifications may have evolved to robustly tune the formation and dynamical arrest of RNA condensates.",nature_html,,2'-OH基团在RNA相分离和渗透转变中的作用,具有较低临界溶液温度的 Mg2+ 离子依赖性 RNA 液-液相分离由磷酸盐主链驱动，并由核碱基的溶剂化特性调节。在这里，我们报告了核糖的 2'-OH 基团在二价阳离子存在下的 RNA 缩合中的关键作用。我们发现 2'-脱氧核糖抑制核酸相分离并抑制凝结液内网络转变（称为渗滤），这是凝结液动力学停滞的基础。全原子模拟揭示了与 RNA 相比，单链 DNA 的溶剂化和压缩增加，这表明链柔性在调节热诱导的核酸相分离和渗滤转变中发挥着不直观的作用。此外，RNA 的 2'-O-甲基化 (2'-O-Me)（一种常见的糖修饰）会降低 RNA 相变的驱动力。这些结果强调了控制核酸相行为的不同物理化学参数，并表明糖修饰如何进化以稳健地调节 RNA 凝聚物的形成和动态停滞。,,16e5c5af877b4977
